"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","13pF","sparkfun-electromech:1111",""
"2","C2, C3, C4, C12, C13, C14","6","12pF","sparkfun-electromech:1111",""
"3","C5","1","20pF","sparkfun-electromech:1111",""
"4","C6","1","75pF","sparkfun-electromech:1111",""
"5","C7, C8, C9","3","100pF","sparkfun-electromech:1111",""
"6","C10","1","39pF","sparkfun-electromech:1111",""
"7","C11","1","30pF","sparkfun-electromech:1111",""
"8","C15, C17, C18, C19","4","10pF","sparkfun-electromech:1111",""
"9","C16","1","16pF","sparkfun-electromech:1111",""
"10","C20","1","22pF","sparkfun-electromech:1111",""
"11","J1, J3","2","Conn_Coaxial","sparkfun-electromech:UHF slanted",""
"12","J2","1","Conn_Coaxial","sparkfun-electromech:N-conn slanted",""
"13","J4, J5, J6, J7, J8, J9, J10, J11","8","Conn_01x01_Pin","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"14","L1","1","75nH","sparkfun-electromech:L_Axial_L14.6-hand",""
"15","L2, L3","2","62nH","sparkfun-electromech:L_Axial_L14.6-hand",""
"16","L4","1","56nH","sparkfun-electromech:L_Axial_L14.6-hand",""
"17","L5","1","100nH","sparkfun-electromech:L_Axial_L14.6-hand",""
"18","L6","1","220nH","sparkfun-electromech:L_Axial_L14.6-hand",""
"19","L7, L8, L9","3","270nH","sparkfun-electromech:L_Axial_L14.6-hand",""
"20","L10","1","160nH","sparkfun-electromech:L_Axial_L14.6-hand",""
